#Ek1[GeV] Ek2[GeV] F[/m^2/s/sr/GeV] dF
0.24 0.30 2.2 0.9
0.30 0.365 5.5 1.3
0.365 0.45 4.2 1.0
0.45 0.55 7.4 1.1
0.55 0.68 6.4 1.2
0.68 0.83 4.4 0.8
0.83 1.02 5.4 0.8
1.02 1.24 3.3 0.5
1.24 1.52 2.8 0.4
1.52 1.87 1.8 0.25
1.87 2.29 1.2 0.25
2.29 2.80 0.85 0.4
