# $Id: aharonian2009_electron_sys.dat,v 1.1 2009/05/28 16:14:00 oxon Exp $
# E[GeV] dFl(sys) dFh(sys)
338.0 197.91 114.89
405.6 197.25 114.67
486.72 196.58 114.47
584.06 195.88 114.30
700.87 195.15 114.15
841.05 194.40 114.04
1009.26 172.40 101.49
1211.12 140.94 83.32
1453.34 115.19 68.43
1744.01 94.10 56.24
