#Ek1[GeV] Ek2[GeV] <E> F[/m^2/s/sr/GeV] dFh dFl
5.0 6.0 5.45 0.076 0.016 0.016
6.0 8.9 7.16 0.0405 0.0070 0.0070
8.9 14.8 11.1 0.0092 0.0021 0.0020
14.8 26.5 18.9 0.001 0.00052 0.00038
26.5 50.0 34.5 0.00021 0.00019 0.00011
