# Ackermann et al. 2012
# E1[GeV] E2[GeV] F[GeV-1/s/m^2/sr] dF_stat dFsys+ dFsys-
20.0	25.2	160e-5	5e-5	20e-5	21e-5
25.2	31.7	80.2e-5	2.9e-5	10e-5	10e-5
31.7	39.9	43.4e-5	2.0e-5	4.9e-5	5.1e-5
39.9	50.2	21.8e-5	1.7e-5	2.5e-5	2.6e-5
50.2	63.2	10.7e-5	1.4e-5	1.2e-5	1.3e-5
63.2	79.6	5.52e-5	1.4e-5	.66e-5	.68e-5
79.6	100	3.90e-5	1.2e-5	.46e-5	.48e-5
100	126	1.83e-5	.57e-5	.22e-5	.28e-5
126	159	1.28e-5	.45e-5	.15e-5	.20e-5
159	200	.911e-5	.48e-5	.13e-5	.16e-5
